time,G(i),H_sun,T2m,WS10m,Int
20100126:1207,767.52,40.11,27.04,0.55,0
20100126:1307,531.82,28.4,26.74,0.55,0
20100126:1407,267.05,15.6,26.21,0.76,0
20100126:1507,0,0,24.96,1.1,0
20100126:1607,0,0,22.56,1.86,0
20100126:1707,0,0,20.41,2.14,0
20100126:1807,0,0,18.83,2.21,0
20100126:1907,0,0,17.87,2.14,0
20100126:2007,0,0,16.87,2.21,0
20100126:2107,0,0,16.05,2.28,0
20100126:2207,0,0,15.34,2.21,0
20100126:2307,0,0,14.66,2.21,0
20100127:0007,0,0,14.17,2.28,0
20100127:0107,0,0,13.62,2.28,0
20100127:0207,0,0,13.15,2.21,0
20100127:0307,0,0,12.89,2.21,0
20100127:0407,0,0,12.48,2.21,0
20100127:0507,383.25,15.48,14.01,1.93,0
20100127:0607,665.99,28.32,18.63,2,0
20100127:0707,883.84,40.09,22.11,2.07,0
20100127:0807,1013.28,49.84,24.42,2.07,0
20100127:0907,1081.23,55.77,25.98,1.45,0
20100127:1007,1056.87,55.83,27.09,0.55,0
20100127:1107,922.3,50.01,27.66,0.34,0
20100127:1207,325.6,40.32,27.69,1.17,0
20100127:1307,513.05,28.58,27.85,1.66,0
20100127:1407,287.32,15.75,27.11,1.93,0
20100127:1507,0,0,25.69,1.86,0
20100127:1607,0,0,23.72,2.34,0
20100127:1707,0,0,22.02,2.14,0
20100127:1807,0,0,20.77,1.52,0
20100127:1907,0,0,19.1,1.72,0
20100127:2007,0,0,17.92,1.86,0
20100127:2107,0,0,16.9,2.07,0
20100127:2207,0,0,15.76,2,0
20100127:2307,0,0,14.7,2,0
20100128:0007,0,0,13.94,2,0
20100128:0107,0,0,13.52,2.07,0
20100128:0207,0,0,13.24,2.07,0
20100128:0307,0,0,12.96,2.07,0
20100128:0407,0,0,12.61,2.07,0
20100128:0507,394.29,15.53,14.15,1.66,0
20100128:0607,671.02,28.4,19.52,1.66,0
20100128:0707,884.55,40.22,22.72,1.86,0
20100128:0807,1015.08,50.02,24.89,1.72,0
20100128:0907,1075.04,56.01,26.44,1.17,0
20100128:1007,1052,56.1,27.59,1.31,0
20100128:1107,941.54,50.25,28.49,2.14,0
20100128:1207,756.92,40.53,28.51,2.62,0
20100128:1307,525.1,28.75,28.19,2.76,0
20100128:1407,264.6,15.9,27.4,2.69,0
20100128:1507,11.3,2.44,25.96,2.21,0
20100128:1607,0,0,24.01,2.41,0
20100128:1707,0,0,22.48,2.28,0
20100128:1807,0,0,21.56,1.66,0
20100128:1907,0,0,19.63,1.59,0
20100128:2007,0,0,18.56,1.52,0
20100128:2107,0,0,18.08,1.59,0
20100128:2207,0,0,16.92,1.72,0
20100128:2307,0,0,15.8,1.72,0
20100129:0007,0,0,14.85,1.72,0
20100129:0107,0,0,13.97,1.86,0
20100129:0207,0,0,13.74,1.86,0
20100129:0307,0,0,13.54,1.93,0
20100129:0407,0,0,13.11,2,0
20100129:0507,390.13,15.58,14.65,1.59,0
20100129:0607,666.49,28.49,20.05,1.45,0
20100129:0707,885.2,40.35,23.45,0.69,0
20100129:0807,1015.57,50.21,25.52,0.34,0
20100129:0907,1076.56,56.26,27.08,1.17,0
20100129:1007,1059.88,56.37,28.18,2,0
20100129:1107,949.27,50.5,28.77,2.55,0
20100129:1207,763.44,40.73,28.84,2.9,0
20100129:1307,543.29,28.92,28.49,2.97,0
20100129:1407,258.8,16.04,27.58,2.97,0
20100129:1507,12.19,2.57,25.88,2.41,0
20100129:1607,0,0,23.74,2.07,0
20100129:1707,0,0,22.1,1.86,0
20100129:1807,0,0,20.43,1.72,0
20100129:1907,0,0,18.69,1.79,0
20100129:2007,0,0,17.29,1.86,0
20100129:2107,0,0,15.86,1.86,0
20100129:2207,0,0,15.03,1.86,0
20100129:2307,0,0,14.2,1.86,0
20100130:0007,0,0,13.55,1.86,0
20100130:0107,0,0,13.33,1.79,0
20100130:0207,0,0,13.09,1.86,0
20100130:0307,0,0,13.3,1.93,0
20100130:0407,0,0,13.24,2,0
20100130:0507,360.05,15.64,15.06,1.59,0
20100130:0607,651.29,28.58,20.7,1.59,0
20100130:0707,874.74,40.49,24.11,1.38,0
20100130:0807,1010.21,50.4,26.19,0.9,0
20100130:0907,1071.43,56.51,27.79,0.28,0
20100130:1007,1054.97,56.65,28.82,0.41,0
20100130:1107,928.07,50.74,29.57,1.17,0
20100130:1207,567.86,40.94,29.75,1.72,0
20100130:1307,433.39,29.09,29.24,1.72,0
20100130:1407,291.61,16.18,28.36,1.52,0
20100130:1507,13.09,2.69,26.91,1.66,0
20100130:1607,0,0,24.77,2.14,0
20100130:1707,0,0,22.78,2.28,0
20100130:1807,0,0,21.12,2,0
20100130:1907,0,0,20.07,1.86,0
20100130:2007,0,0,18.61,1.86,0
20100130:2107,0,0,17.51,1.93,0
20100130:2207,0,0,16.7,1.93,0
20100130:2307,0,0,16,1.93,0
20100131:0007,0,0,15.4,1.93,0
20100131:0107,0,0,14.94,2,0
20100131:0207,0,0,14.65,2,0
20100131:0307,0,0,14.22,2.07,0
20100131:0407,0,0,13.86,2.07,0
20100131:0507,362.97,15.7,15.77,1.66,0
20100131:0607,642.33,28.68,21.15,1.79,0
20100131:0707,869.09,40.63,24.17,1.59,0
20100131:0807,1010.62,50.6,26.29,1.03,0
20100131:0907,1079.59,56.77,27.9,0.41,0
20100131:1007,1056.38,56.93,29.07,0.97,0
20100131:1107,870.83,50.99,29.89,1.79,0
20100131:1207,723.91,41.15,30.03,2.14,0
20100131:1307,540.16,29.26,29.71,2.14,0
20100131:1407,273.92,16.33,28.87,1.86,0
20100131:1507,15.36,2.81,27.6,1.45,0
20100131:1607,0,0,25.43,1.79,0
20100131:1707,0,0,23.52,2.14,0
20100131:1807,0,0,21.61,2.14,0
20100131:1907,0,0,19.92,2.21,0
20100131:2007,0,0,18.52,2.14,0
20100131:2107,0,0,17.46,2.07,0
20100131:2207,0,0,16.65,2.07,0
20100131:2307,0,0,15.98,2,0
20100201:0007,0,0,15.51,2,0
20100201:0107,0,0,14.9,2,0
20100201:0207,0,0,14.4,2,0
20100201:0307,0,0,13.97,2.07,0
20100201:0407,0,0,13.61,2.07,0
20100201:0507,377.14,15.77,15.53,1.72,0
20100201:0607,661.39,28.78,21.58,1.72,0
20100201:0707,871.74,40.77,24.94,2,0
20100201:0807,1015.61,50.81,27.07,2.14,0
20100201:0907,1078.99,57.04,28.53,1.45,0
20100201:1007,1057.02,57.21,29.57,0.55,0
20100201:1107,957.84,51.25,30.21,0.28,0
20100201:1207,788.26,41.36,30.57,0.9,0
20100201:1307,525.22,29.44,30.46,1.24,0
20100201:1407,283.36,16.47,29.6,1.59,0
20100201:1507,19.75,2.93,28.09,1.52,0
20100201:1607,0,0,25.78,1.59,0
20100201:1707,0,0,23.79,1.79,0
20100201:1807,0,0,21.67,1.86,0
20100201:1907,0,0,19.8,2,0
20100201:2007,0,0,18.39,2,0
20100201:2107,0,0,17.26,2,0
20100201:2207,0,0,16.32,2,0
20100201:2307,0,0,15.5,2.07,0
20100202:0007,0,0,14.78,2.07,0
20100202:0107,0,0,14.08,2.07,0
20100202:0207,0,0,13.42,2.07,0
20100202:0307,0,0,12.82,2.07,0
20100202:0407,0,0,12.31,2.07,0
20100202:0507,390.65,15.84,14.33,1.66,0
20100202:0607,666.33,28.88,21.42,1.59,0
20100202:0707,878.32,40.92,25.18,1.66,0
20100202:0807,1017.17,51.02,27.58,1.66,0
20100202:0907,1080.41,57.3,29.29,1.31,0
20100202:1007,1052.05,57.5,30.42,0.76,0
20100202:1107,941.88,51.5,31.04,0.41,0
20100202:1207,767.56,41.57,31.23,0.62,0
20100202:1307,568.3,29.61,31.03,0.83,0
20100202:1407,267.12,16.61,30.34,0.83,0
20100202:1507,22.66,3.04,28.75,0.62,0
20100202:1607,0,0,26.09,1.38,0
20100202:1707,0,0,23.19,2,0
20100202:1807,0,0,20.83,1.86,0
20100202:1907,0,0,18.94,1.93,0
20100202:2007,0,0,17.24,2,0
20100202:2107,0,0,16.05,2,0
20100202:2207,0,0,15.27,2.07,0
20100202:2307,0,0,14.74,2.07,0
20100203:0007,0,0,14.3,2.07,0
20100203:0107,0,0,13.94,2.07,0
20100203:0207,0,0,13.57,2.07,0
20100203:0307,0,0,13.15,2,0
20100203:0407,28.73,2.3,12.76,2,0
20100203:0507,405.36,15.92,14.84,1.66,0
20100203:0607,672.35,28.99,21.75,1.45,0
20100203:0707,873.89,41.08,25.4,1.52,0
20100203:0807,1017.44,51.23,27.67,0.97,0
20100203:0907,1075.15,57.58,29.29,1.03,0
20100203:1007,1046.99,57.79,30.39,1.86,0
20100203:1107,943.22,51.76,31.03,2.76,0
20100203:1207,768.96,41.77,31.16,3.24,0
20100203:1307,524.78,29.78,30.76,3.52,0
20100203:1407,262.98,16.75,29.79,3.45,0
20100203:1507,20.31,3.16,27.92,2.62,0
20100203:1607,0,0,25.46,2.21,0
20100203:1707,0,0,23.2,1.86,0
20100203:1807,0,0,20.62,1.72,0
20100203:1907,0,0,18.27,1.93,0
20100203:2007,0,0,16.66,1.86,0
20100203:2107,0,0,15.93,1.79,0
20100203:2207,0,0,14.83,1.66,0
20100203:2307,0,0,13.96,1.52,0
20100204:0007,0,0,13.27,1.59,0
20100204:0107,0,0,13.04,1.45,0
20100204:0207,0,0,12.96,1.31,0
20100204:0307,0,0,13.79,1.17,0
20100204:0407,23.41,2.36,14.04,1.1,0
20100204:0507,384.5,16,15.32,0.83,0
20100204:0607,658.28,29.1,19.83,0,0
20100204:0707,868.24,41.23,22.87,0.62,0
20100204:0807,986.24,51.45,25.23,1.45,0
20100204:0907,1055.45,57.86,26.99,2.41,0
20100204:1007,1048.3,58.09,28.03,3.31,0
20100204:1107,761.28,52.02,28.08,4.41,0
20100204:1207,573.4,41.98,27.44,4.55,0
20100204:1307,396.12,29.94,26.68,4.69,0
20100204:1407,275,16.89,25.44,4.48,0
20100204:1507,26.53,3.27,23.72,3.52,0
20100204:1607,0,0,21.8,2.83,0
20100204:1707,0,0,20.27,2.28,0
20100204:1807,0,0,18.97,1.72,0
20100204:1907,0,0,17.77,1.59,0
20100204:2007,0,0,16.67,1.31,0
20100204:2107,0,0,15.63,1.03,0
20100204:2207,0,0,15.49,0.69,0
20100204:2307,0,0,15.06,0.48,0
20100205:0007,0,0,14.52,0.69,0
20100205:0107,0,0,13.58,0.83,0
20100205:0207,0,0,12.77,0.97,0
20100205:0307,0,0,12.19,1.1,0
20100205:0407,17.38,2.42,11.67,1.24,0
20100205:0507,291.69,16.08,14.22,0.76,0
20100205:0607,605.17,29.22,18.66,0.62,0
20100205:0707,845.08,41.4,21.36,1.66,0
20100205:0807,1000.63,51.67,23.55,2.69,0
20100205:0907,1077.8,58.14,25.18,3.86,0
20100205:1007,1049.58,58.39,25.94,4.69,0
20100205:1107,963.91,52.28,26.13,5.03,0
20100205:1207,794.34,42.19,25.59,5.03,0
20100205:1307,544.82,30.11,24.94,4.83,0
20100205:1407,279.5,17.02,23.68,4.41,0
20100205:1507,26.02,3.38,21.89,3.52,0
20100205:1607,0,0,19.89,2.76,0
20100205:1707,0,0,18.44,1.93,0
20100205:1807,0,0,17.25,1.52,0
20100205:1907,0,0,16.17,1.52,0
20100205:2007,0,0,14.84,1.38,0
20100205:2107,0,0,14.03,1.1,0
20100205:2207,0,0,14.01,0.83,0
20100205:2307,0,0,13.92,0.34,0
20100206:0007,0,0,13.48,0.55,0
20100206:0107,0,0,12.54,0.83,0
20100206:0207,0,0,11.36,1.03,0
20100206:0307,0,0,10.61,1.17,0
20100206:0407,34.91,2.48,10.12,1.24,0
20100206:0507,249.89,16.17,13.13,0.76,0
20100206:0607,555.77,29.34,17.53,0.55,0
20100206:0707,857.86,41.56,20.43,1.52,0
20100206:0807,1014.76,51.9,22.63,2.76,0
20100206:0907,947.97,58.43,24.31,3.66,0
20100206:1007,885.05,58.69,25.36,4.28,0
20100206:1107,912.44,52.54,25.94,4.69,0
20100206:1207,809.49,42.4,25.77,4.83,0
20100206:1307,402.34,30.28,24.88,4.62,0
20100206:1407,282.51,17.16,23.88,4.28,0
20100206:1507,6.8,3.49,22.17,3.24,0
20100206:1607,0,0,20.08,2.41,0
20100206:1707,0,0,18.55,1.79,0
20100206:1807,0,0,17.1,1.38,0
20100206:1907,0,0,15.8,1.17,0
20100206:2007,0,0,15.38,0.9,0
20100206:2107,0,0,14.95,0.83,0
20100206:2207,0,0,13.73,0.97,0
20100206:2307,0,0,12.52,1.17,0
20100207:0007,0,0,11.65,1.31,0
20100207:0107,0,0,11.56,1.38,0
20100207:0207,0,0,11.4,1.45,0
20100207:0307,0,0,11.07,1.59,0
20100207:0407,34.26,2.54,11.23,1.59,0
20100207:0507,299.3,16.26,12.98,1.38,0
20100207:0607,688.83,29.47,17.89,1.31,0
20100207:0707,477.09,41.73,20.88,1.45,0
20100207:0807,989.57,52.13,23.03,2.28,0
20100207:0907,1039.43,58.73,24.47,3.17,0
20100207:1007,1059.37,59,25.54,3.86,0
20100207:1107,730.24,52.8,25.84,4.28,0
20100207:1207,602.66,42.61,25.77,4.48,0
20100207:1307,360.93,30.44,25.4,4.48,0
20100207:1407,298.54,17.29,24.08,4.07,0
20100207:1507,32.52,3.6,22.51,3.24,0
20100207:1607,0,0,20.35,2.41,0
20100207:1707,0,0,18.91,1.66,0
20100207:1807,0,0,17.52,1.24,0
20100207:1907,0,0,16.67,1.03,0
20100207:2007,0,0,15.96,0.97,0
20100207:2107,0,0,14.74,1.17,0
20100207:2207,0,0,13.59,1.38,0
20100207:2307,0,0,12.64,1.52,0
20100208:0007,0,0,11.93,1.59,0
20100208:0107,0,0,11.69,1.66,0
20100208:0207,0,0,11.58,1.79,0
20100208:0307,0,0,11.39,1.79,0
20100208:0407,3.89,2.62,11.11,1.86,0
20100208:0507,226.5,16.36,13.35,1.52,0
20100208:0607,465.63,29.6,18.99,1.45,0
20100208:0707,894.67,41.91,22.24,1.31,0
20100208:0807,983.89,52.37,24.46,1.79,0
20100208:0907,810.29,59.03,26.21,2.76,0
20100208:1007,631.11,59.31,27.31,3.66,0
20100208:1107,898.93,53.06,27.77,4.21,0
20100208:1207,382.03,42.82,27.6,4.48,0
20100208:1307,444.6,30.61,26.66,4.34,0
20100208:1407,234.69,17.42,25.6,4.07,0
20100208:1507,24.22,3.71,23.94,3.24,0
20100208:1607,0,0,21.89,2.41,0
20100208:1707,0,0,20.35,1.79,0
20100208:1807,0,0,18.67,1.52,0
20100208:1907,0,0,17.92,1.17,0
20100208:2007,0,0,17.09,1.17,0
20100208:2107,0,0,16.34,1.17,0
20100208:2207,0,0,15.16,1.31,0
20100208:2307,0,0,14.25,1.31,0
20100209:0007,0,0,13.69,1.31,0
20100209:0107,0,0,13.07,1.31,0
20100209:0207,0,0,12.5,1.31,0
20100209:0307,0,0,12.19,1.38,0
20100209:0407,22.81,2.69,11.58,1.45,0
20100209:0507,307.66,16.46,13.64,1.03,0
20100209:0607,641.64,29.73,19.96,0.69,0
20100209:0707,872.18,42.09,22.79,1.17,0
20100209:0807,1018.6,52.61,24.55,2.62,0
20100209:0907,1101.83,59.33,25.67,3.38,0
20100209:1007,1080.02,59.62,26.34,3.72,0
20100209:1107,980.07,53.33,26.51,4,0
20100209:1207,734.84,43.02,26.71,4.34,0
20100209:1307,469.55,30.77,26.24,4.55,0
20100209:1407,277.11,17.55,25.19,4.62,0
20100209:1507,12.64,3.82,23.54,3.66,0
20100209:1607,0,0,21.58,2.41,0
20100209:1707,0,0,20.4,1.45,0
20100209:1807,0,0,18.95,0.97,0
20100209:1907,0,0,17.27,1.24,0
20100209:2007,0,0,16.07,1.45,0
20100209:2107,0,0,15,1.59,0
20100209:2207,0,0,13.91,1.66,0
20100209:2307,0,0,13.5,1.59,0
20100210:0007,0,0,12.79,1.66,0
20100210:0107,0,0,12.99,1.52,0
20100210:0207,0,0,13.56,1.52,0
20100210:0307,0,0,14.28,1.72,0
20100210:0407,28.44,2.77,14.89,1.79,0
20100210:0507,345.11,16.56,16.24,1.59,0
20100210:0607,632.82,29.86,19.01,1.66,0
20100210:0707,855.46,42.27,22.2,1.1,0
20100210:0807,1056.4,52.85,24.77,0.76,0
20100210:0907,1035.58,59.64,26.52,2.34,0
20100210:1007,1068.79,59.94,27.5,3.24,0
20100210:1107,806.48,53.59,27.86,3.66,0
20100210:1207,587.33,43.23,28.31,3.86,0
20100210:1307,507.25,30.93,27.82,3.93,0
20100210:1407,202.67,17.68,27.08,3.86,0
20100210:1507,24.02,3.92,25.5,2.97,0
20100210:1607,0,0,23.35,2.14,0
20100210:1707,0,0,21.68,1.52,0
20100210:1807,0,0,19.81,1.31,0
20100210:1907,0,0,18.41,1.17,0
20100210:2007,0,0,17.07,1.24,0
20100210:2107,0,0,15.94,1.45,0
20100210:2207,0,0,15.59,1.52,0
20100210:2307,0,0,14.99,1.52,0
20100211:0007,0,0,14.3,1.66,0
20100211:0107,0,0,13.99,1.66,0
20100211:0207,0,0,13.69,1.79,0
20100211:0307,0,0,13.44,1.93,0
20100211:0407,23.18,2.85,13.35,1.93,0
20100211:0507,345.02,16.67,15.18,1.52,0
20100211:0607,652.92,30.01,20.49,1.1,0
20100211:0707,874.91,42.45,23.95,0.9,0
20100211:0807,1026.55,53.1,26.31,1.72,0
20100211:0907,1104.94,59.95,27.85,2.9,0
20100211:1007,1083.03,60.26,28.71,3.59,0
20100211:1107,993.5,53.86,29.07,4.21,0
20100211:1207,822.24,43.43,28.83,4.62,0
20100211:1307,577.7,31.09,28.19,4.83,0
20100211:1407,296.58,17.81,26.93,4.69,0
20100211:1507,34.91,4.02,25.09,3.79,0
20100211:1607,0,0,22.64,2.69,0
20100211:1707,0,0,21.07,1.79,0
20100211:1807,0,0,19.02,1.52,0
20100211:1907,0,0,17.44,1.59,0
20100211:2007,0,0,15.99,1.66,0
20100211:2107,0,0,14.72,1.72,0
20100211:2207,0,0,13.78,1.72,0
20100211:2307,0,0,12.89,1.79,0
20100212:0007,0,0,12.52,1.86,0
20100212:0107,0,0,12.52,1.93,0
20100212:0207,0,0,12.43,2,0
20100212:0307,0,0,12.11,2,0
20100212:0407,23.88,2.94,12.02,2,0
20100212:0507,353.22,16.78,14.07,1.59,0
20100212:0607,649.39,30.15,20.09,1.24,0
20100212:0707,875.11,42.64,23.63,0.69,0
20100212:0807,1034.34,53.35,25.88,0.34,0
20100212:0907,1105.88,60.27,27.61,1.52,0
20100212:1007,1077.92,60.58,28.85,2.48,0
20100212:1107,983.93,54.12,29.5,3.1,0
20100212:1207,807.32,43.64,29.61,3.52,0
20100212:1307,573.16,31.25,29.18,3.79,0
20100212:1407,297.96,17.93,28.19,3.79,0
20100212:1507,32.91,4.12,26.52,2.97,0
20100212:1607,0,0,24.08,2.21,0
20100212:1707,0,0,22.54,1.93,0
20100212:1807,0,0,20.62,1.66,0
20100212:1907,0,0,19.23,1.59,0
20100212:2007,0,0,17.83,1.72,0
20100212:2107,0,0,17.07,1.86,0
20100212:2207,0,0,16.86,1.86,0
20100212:2307,0,0,16.23,1.93,0
20100213:0007,0,0,15.45,1.93,0
20100213:0107,0,0,14.98,2,0
20100213:0207,0,0,14.59,2.07,0
20100213:0307,0,0,14.33,2.14,0
20100213:0407,29.09,3.03,14.03,2.07,0
20100213:0507,377.77,16.89,15.31,1.79,0
20100213:0607,660.2,30.3,19.88,1.59,0
20100213:0707,888.08,42.84,23.52,1.03,0
20100213:0807,1035.38,53.61,25.95,0.83,0
20100213:0907,1100.54,60.59,27.79,2.07,0
20100213:1007,1084.83,60.91,28.88,3.17,0
20100213:1107,984.78,54.39,29.49,3.93,0
20100213:1207,808.22,43.84,29.48,4.21,0
20100213:1307,565.27,31.4,28.86,4.21,0
20100213:1407,295.01,18.05,27.96,4.07,0
20100213:1507,33.43,4.22,26.29,3.17,0
20100213:1607,0,0,23.99,2.34,0
20100213:1707,0,0,22.4,1.79,0
20100213:1807,0,0,20.3,1.66,0
20100213:1907,0,0,18.82,1.38,0
20100213:2007,0,0,17.21,1.52,0
20100213:2107,0,0,15.64,1.72,0
20100213:2207,0,0,14.81,1.79,0
20100213:2307,0,0,14.36,1.79,0
20100214:0007,0,0,14.48,1.86,0
20100214:0107,0,0,14.54,1.93,0
20100214:0207,0,0,14.03,2,0
20100214:0307,0,0,13.7,2,0
20100214:0407,28.65,3.12,13.37,2.07,0
20100214:0507,374.46,17.01,15.35,1.79,0
20100214:0607,665.5,30.45,20.7,1.72,0
20100214:0707,883.45,43.03,24.23,0.97,0
20100214:0807,1023.1,53.87,26.8,0.9,0
20100214:0907,1101.44,60.92,28.65,2.28,0
20100214:1007,1085.66,61.24,29.68,3.24,0
20100214:1107,957.79,54.65,30.21,3.86,0
20100214:1207,800.12,44.04,30.18,4.07,0
20100214:1307,565.28,31.55,29.74,4.21,0
20100214:1407,292.09,18.17,28.79,3.79,0
20100214:1507,33.08,4.31,27.11,2.76,0
20100214:1607,0,0,24.74,2.07,0
20100214:1707,0,0,23.01,1.86,0
20100214:1807,0,0,21.52,2,0
20100214:1907,0,0,19.9,1.79,0
20100214:2007,0,0,19.03,1.86,0
20100214:2107,0,0,17.97,1.86,0
20100214:2207,0,0,17.01,1.79,0
20100214:2307,0,0,16.47,1.86,0
20100215:0007,0,0,15.71,2.14,0
20100215:0107,0,0,15.26,2.14,0
20100215:0207,0,0,14.67,2.07,0
20100215:0307,0,0,14.35,2.07,0
20100215:0407,33.47,3.22,13.88,2,0
20100215:0507,389.36,17.13,15.68,1.66,0
20100215:0607,670.85,30.6,20.59,1.72,0
20100215:0707,890.45,43.23,23.79,1.52,0
20100215:0807,1037.35,54.13,26.29,1.93,0
20100215:0907,1102.31,61.24,28.17,2.76,0
20100215:1007,1074.54,61.57,29.34,3.72,0
20100215:1107,970.27,54.92,30.03,4.55,0
20100215:1207,795.46,44.24,29.83,4.83,0
20100215:1307,544.2,31.71,29.1,4.69,0
20100215:1407,277.42,18.29,28.23,4.34,0
20100215:1507,35.7,4.4,26.51,3.1,0
20100215:1607,0,0,24.23,2.14,0
20100215:1707,0,0,22.4,1.66,0
20100215:1807,0,0,20.36,1.59,0
20100215:1907,0,0,18.89,1.59,0
20100215:2007,0,0,17.47,1.72,0
20100215:2107,0,0,16.62,1.86,0
20100215:2207,0,0,15.66,2.07,0
20100215:2307,0,0,14.77,2.14,0
20100216:0007,0,0,14.19,2.07,0
20100216:0107,0,0,14.25,2,0
20100216:0207,0,0,14.22,1.93,0
20100216:0307,0,0,13.69,2,0
20100216:0407,29.83,3.32,13.26,2,0
20100216:0507,383.33,17.26,15.28,1.66,0
20100216:0607,662.35,30.76,20.21,1.79,0
20100216:0707,879.89,43.44,23.4,2.21,0
20100216:0807,1038.29,54.4,25.88,2.07,0
20100216:0907,1096.94,61.58,27.67,2,0
20100216:1007,1069.4,61.9,28.78,2.69,0
20100216:1107,971.12,55.18,29.34,3.45,0
20100216:1207,769.26,44.43,29.67,3.72,0
20100216:1307,506.37,31.85,29.15,3.52,0
20100216:1407,69.99,18.4,27.78,2.97,0
20100216:1507,14.58,4.5,25.8,2.41,0
20100216:1607,0,0,23.42,2.48,0
20100216:1707,0,0,20.82,2.62,0
20100216:1807,0,0,19,2.55,0
20100216:1907,0,0,17.55,2.41,0
20100216:2007,0,0,16.69,2.34,0
20100216:2107,0,0,15.93,2.28,0
20100216:2207,0,0,15.57,2.21,0
20100216:2307,0,0,14.82,2.21,0
20100217:0007,0,0,14.22,2.21,0
20100217:0107,0,0,13.75,2.21,0
20100217:0207,0,0,13.35,2.21,0
20100217:0307,0,0,13.02,2.28,0
20100217:0407,33.4,3.43,13.04,2.28,0
20100217:0507,381.2,17.39,15.34,2.07,0
20100217:0607,658.78,30.92,20.3,2.28,0
20100217:0707,879.9,43.64,23.53,2.48,0
20100217:0807,1026.1,54.67,26.08,2.62,0
20100217:0907,1091.51,61.91,27.82,2.41,0
20100217:1007,1070.23,62.24,28.95,2.97,0
20100217:1107,966.21,55.45,29.46,3.38,0
20100217:1207,747.56,44.63,29.42,3.52,0
20100217:1307,544.46,32,29.13,3.45,0
20100217:1407,259.48,18.52,28.25,2.9,0
20100217:1507,34.71,4.58,26.86,2.07,0
20100217:1607,0,0,24.47,2.14,0
20100217:1707,0,0,21.86,2.62,0
20100217:1807,0,0,19.56,2.62,0
20100217:1907,0,0,18.38,2.41,0
20100217:2007,0,0,17.18,2.34,0
20100217:2107,0,0,16.24,2.28,0
20100217:2207,0,0,15.52,2.21,0
20100217:2307,0,0,14.9,2.14,0
20100218:0007,0,0,14.62,2.14,0
20100218:0107,0,0,14.2,2.14,0
20100218:0207,0,0,13.94,2.14,0
20100218:0307,0,0,13.67,2.14,0
20100218:0407,33.9,3.54,13.32,2.14,0
20100218:0507,375.69,17.52,15.67,1.72,0
20100218:0607,660.12,31.08,21.04,1.86,0
20100218:0707,875.13,43.85,24.04,1.59,0
20100218:0807,1028.15,54.94,26.27,1.17,0
20100218:0907,1092.35,62.26,27.88,1.66,0
20100218:1007,1051.98,62.58,29,2.55,0
20100218:1107,692.74,55.71,29.6,3.03,0
20100218:1207,455.38,44.82,29.78,3.38,0
20100218:1307,413.27,32.14,28.89,3.38,0
20100218:1407,304.49,18.63,28,3.24,0
20100218:1507,35.58,4.67,26.39,2.76,0
20100218:1607,0,0,24.19,2.21,0
20100218:1707,0,0,22.6,2.28,0
20100218:1807,0,0,20.95,2.14,0
20100218:1907,0,0,19.94,2.07,0
20100218:2007,0,0,17.94,1.86,0
20100218:2107,0,0,16.77,1.86,0
20100218:2207,0,0,15.8,1.79,0
20100218:2307,0,0,15.05,1.79,0
20100219:0007,0,0,14.58,1.86,0
20100219:0107,0,0,14.4,1.93,0
20100219:0207,0,0,14.06,1.93,0
20100219:0307,0,0,13.66,1.93,0
20100219:0407,35.42,3.65,13.27,2,0
20100219:0507,377.42,17.66,15.64,1.59,0
20100219:0607,656.54,31.25,21.27,1.52,0
20100219:0707,876.25,44.07,24.13,0.69,0
20100219:0807,1022.5,55.22,26.2,0.28,0
20100219:0907,1086.96,62.6,27.75,1.45,0
20100219:1007,1039.72,62.92,28.77,2.34,0
20100219:1107,939.19,55.97,29.38,2.97,0
20100219:1207,765.71,45.01,29.47,3.24,0
20100219:1307,529.46,32.29,28.79,3.1,0
20100219:1407,290.61,18.73,27.9,3.03,0
20100219:1507,34.95,4.76,26.39,2.69,0
20100219:1607,0,0,24.26,2.21,0
20100219:1707,0,0,22.57,2.14,0
20100219:1807,0,0,20.77,1.93,0
20100219:1907,0,0,19.27,2,0
20100219:2007,0,0,17.89,2.07,0
20100219:2107,0,0,16.84,2.14,0
20100219:2207,0,0,15.62,2.21,0
20100219:2307,0,0,14.9,2.28,0
20100220:0007,0,0,14.55,2.28,0
20100220:0107,0,0,14.07,2.21,0
20100220:0207,0,0,13.74,2.28,0
20100220:0307,0,0,13.45,2.28,0
20100220:0407,43.21,3.77,13.08,2.34,0
20100220:0507,391.85,17.79,15.4,2.14,0
20100220:0607,671.51,31.42,20.13,2.48,0
20100220:0707,883.04,44.28,23.25,3.52,0
20100220:0807,1029.91,55.5,25.44,3.31,0
20100220:0907,1093.93,62.95,27.03,2.55,0
20100220:1007,1066.63,63.26,28.13,1.79,0
20100220:1107,967.5,56.23,28.84,1.1,0
20100220:1207,779.96,45.2,29.19,0.62,0
20100220:1307,539.25,32.42,29.02,0.34,0
20100220:1407,261.8,18.84,28.2,1.24,0
20100220:1507,32.34,4.84,26.82,2.14,0
20100220:1607,0,0,24.28,2.55,0
20100220:1707,0,0,21.64,2.9,0
20100220:1807,0,0,19.62,2.76,0
20100220:1907,0,0,18.27,2.69,0
20100220:2007,0,0,17.26,2.62,0
20100220:2107,0,0,16.39,2.69,0
